PERMNO,date,TICKER,FACPR,PRC
12508,07/06/2021,VXUS,,65.29000
12508,07/07/2021,VXUS,,65.50000
12508,07/08/2021,VXUS,,64.50000
12508,07/09/2021,VXUS,,65.61000
12508,07/12/2021,VXUS,,65.75000
12508,07/13/2021,VXUS,,65.56000
12508,07/14/2021,VXUS,,65.67000
12508,07/15/2021,VXUS,,65.33000
12508,07/16/2021,VXUS,,64.83000
12508,07/19/2021,VXUS,,63.73000
12508,07/20/2021,VXUS,,64.10000
12508,07/21/2021,VXUS,,64.92000
12508,07/22/2021,VXUS,,65.00000
12508,07/23/2021,VXUS,,65.07000
12508,07/26/2021,VXUS,,64.80000
12508,07/27/2021,VXUS,,64.23000
12508,07/28/2021,VXUS,,64.92000
12508,07/29/2021,VXUS,,65.32000
12508,07/30/2021,VXUS,,64.94000
12508,08/02/2021,VXUS,,65.21000
12508,08/03/2021,VXUS,,65.64000
12508,08/04/2021,VXUS,,65.58000
12508,08/05/2021,VXUS,,65.77000
12508,08/06/2021,VXUS,,65.46000
12508,08/09/2021,VXUS,,65.47000
12508,08/10/2021,VXUS,,65.59000
12508,08/11/2021,VXUS,,65.99000
12508,08/12/2021,VXUS,,65.77000
12508,08/13/2021,VXUS,,65.99000
12508,08/16/2021,VXUS,,65.55000
12508,08/17/2021,VXUS,,64.75000
12508,08/18/2021,VXUS,,64.62000
12508,08/19/2021,VXUS,,63.86000
12508,08/20/2021,VXUS,,64.03000
12508,08/23/2021,VXUS,,64.72000
12508,08/24/2021,VXUS,,65.31000
12508,08/25/2021,VXUS,,65.37000
12508,08/26/2021,VXUS,,64.93000
12508,08/27/2021,VXUS,,65.64000
12508,08/30/2021,VXUS,,65.66000
12508,08/31/2021,VXUS,,65.89000
12508,09/01/2021,VXUS,,66.47000
12508,09/02/2021,VXUS,,66.65000
12508,09/03/2021,VXUS,,67.00000
12508,09/07/2021,VXUS,,66.98000
12508,09/08/2021,VXUS,,66.30000
12508,09/09/2021,VXUS,,66.24000
12508,09/10/2021,VXUS,,66.12000
12508,09/13/2021,VXUS,,66.55000
12508,09/14/2021,VXUS,,66.21000
12508,09/15/2021,VXUS,,66.37000
12508,09/16/2021,VXUS,,66.05000
12508,09/17/2021,VXUS,,65.34000
12508,09/20/2021,VXUS,0.00000,63.62000
12508,09/21/2021,VXUS,,64.19000
12508,09/22/2021,VXUS,,64.70000
12508,09/23/2021,VXUS,,65.35000
12508,09/24/2021,VXUS,,64.73000
12508,09/27/2021,VXUS,,64.83000
12508,09/28/2021,VXUS,,63.58000
12508,09/29/2021,VXUS,,63.31000
12508,09/30/2021,VXUS,,63.26000
12508,10/01/2021,VXUS,,63.44000
12508,10/04/2021,VXUS,,62.78000
12508,10/05/2021,VXUS,,63.16000
12508,10/06/2021,VXUS,,62.79000
12508,10/07/2021,VXUS,,63.51000
12508,10/08/2021,VXUS,,63.59000
12508,10/11/2021,VXUS,,63.40000
12508,10/12/2021,VXUS,,63.36000
12508,10/13/2021,VXUS,,64.08000
12508,10/14/2021,VXUS,,64.62000
12508,10/15/2021,VXUS,,65.18000
12508,10/18/2021,VXUS,,64.98000
12508,10/19/2021,VXUS,,65.50000
12508,10/20/2021,VXUS,,65.67000
12508,10/21/2021,VXUS,,65.28000
12508,10/22/2021,VXUS,,65.48000
12508,10/25/2021,VXUS,,65.55000
12508,10/26/2021,VXUS,,65.50000
12508,10/27/2021,VXUS,,65.15000
12508,10/28/2021,VXUS,,65.63000
12508,10/29/2021,VXUS,,65.08000
12508,11/01/2021,VXUS,,65.71000
12508,11/02/2021,VXUS,,65.38000
12508,11/03/2021,VXUS,,65.81000
12508,11/04/2021,VXUS,,65.74000
12508,11/05/2021,VXUS,,65.88000
12508,11/08/2021,VXUS,,66.09000
12508,11/09/2021,VXUS,,65.89000
12508,11/10/2021,VXUS,,65.23000
12508,11/11/2021,VXUS,,65.66000
12508,11/12/2021,VXUS,,66.04000
12508,11/15/2021,VXUS,,65.90000
12508,11/16/2021,VXUS,,65.76000
12508,11/17/2021,VXUS,,65.61000
12508,11/18/2021,VXUS,,65.43000
12508,11/19/2021,VXUS,,65.01000
12508,11/22/2021,VXUS,,64.60000
12508,11/23/2021,VXUS,,64.56000
12508,11/24/2021,VXUS,,64.30000
12508,11/26/2021,VXUS,,62.46000
12508,11/29/2021,VXUS,,62.73000
12508,11/30/2021,VXUS,,62.31000
12508,12/01/2021,VXUS,,62.01000
12508,12/02/2021,VXUS,,62.83000
12508,12/03/2021,VXUS,,62.38000
12508,12/06/2021,VXUS,,62.99000
12508,12/07/2021,VXUS,,64.20000
12508,12/08/2021,VXUS,,64.35000
12508,12/09/2021,VXUS,,63.87000
12508,12/10/2021,VXUS,,63.97000
12508,12/13/2021,VXUS,,63.19000
12508,12/14/2021,VXUS,,62.94000
12508,12/15/2021,VXUS,,63.46000
12508,12/16/2021,VXUS,,63.54000
12508,12/17/2021,VXUS,,62.87000
12508,12/20/2021,VXUS,0.00000,61.51000
12508,12/21/2021,VXUS,,62.33000
12508,12/22/2021,VXUS,,62.89000
12508,12/23/2021,VXUS,,63.24000
12508,12/27/2021,VXUS,,63.70000
12508,12/28/2021,VXUS,,63.63000
12508,12/29/2021,VXUS,,63.57000
12508,12/30/2021,VXUS,,63.66000
12508,12/31/2021,VXUS,,63.57000
12508,01/03/2022,VXUS,,63.98000
12508,01/04/2022,VXUS,,64.06000
12508,01/05/2022,VXUS,,63.42000
12508,01/06/2022,VXUS,,63.24000
12508,01/07/2022,VXUS,,63.52000
12508,01/10/2022,VXUS,,63.05000
12508,01/11/2022,VXUS,,63.95000
12508,01/12/2022,VXUS,,64.70000
12508,01/13/2022,VXUS,,64.14000
12508,01/14/2022,VXUS,,64.08000
84398,12/15/2010,SPY,,124.09800
84398,12/16/2010,SPY,,124.82000
84398,12/17/2010,SPY,0.00000,124.30000
84398,12/20/2010,SPY,,124.60000
84398,12/21/2010,SPY,,125.39000
84398,12/22/2010,SPY,,125.78000
84398,12/23/2010,SPY,,125.60000
84398,12/27/2010,SPY,,125.65000
84398,12/28/2010,SPY,,125.83000
84398,12/29/2010,SPY,,125.92000
84398,12/30/2010,SPY,,125.72000
84398,12/31/2010,SPY,,125.75000
84398,01/03/2011,SPY,,127.05000
84398,01/04/2011,SPY,,126.98000
84398,01/05/2011,SPY,,127.64000
84398,01/06/2011,SPY,,127.39000
84398,01/07/2011,SPY,,127.14000
84398,01/10/2011,SPY,,126.98000
84398,01/11/2011,SPY,,127.43000
84398,01/12/2011,SPY,,128.58000
84398,01/13/2011,SPY,,128.37000
84398,01/14/2011,SPY,,129.30000
84398,01/18/2011,SPY,,129.52000
84398,01/19/2011,SPY,,128.25000
84398,01/20/2011,SPY,,128.08000
84398,01/21/2011,SPY,,128.37000
